identifier,ip,start,stop,pid,sim_self_overall,sim_other_overall,dissim_self_overall,dissim_other_overall,sim_self_careerstage,sim_self_position,sim_self_division,sim_self_industry,sim_self_sociocultural,sim_other_careerstage,sim_other_position,sim_other_division,sim_other_industry,sim_other_sociocultural,dissim_self_careerstage,dissim_self_position,dissim_self_division,dissim_self_industry,dissim_self_sociocultural,dissim_other_careerstage,dissim_other_position,dissim_other_division,dissim_other_industry,dissim_other_sociocultural,expectation_similar,likely_convo,age,sex,country,usa_race,white,black_afam,am_ind_native,asian,pac_is,other,race_6_text,hisp_lat,background,mom,dad,language,language_text,proficiency,survey_trouble,employment,job_level,job level_TEXT,joblevel_split
R_5msmyuEPXEm6Vtn,148.168.96.21,12/11/20 10:02,12/11/20 10:07,199,7,7,6,6,7,7,6,5,5,6,6,5,6,5,5,4,3,3,4,5,5,4,4,4,5,11,50,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_1FM2ty3dDFe6ci0,88.130.153.206,12/7/20 6:36,12/7/20 6:40,200,5,6,6,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,3,4,23,2,65,,,,,,,,,,84,84,84,4,,7,1,1,6,intern,
R_2QA7PgsHhQuILzs,88.130.52.232,12/7/20 7:05,12/7/20 7:12,201,7,7,5,5,6,6,6,6,6,6,6,6,6,6,4,5,4,5,4,4,5,4,5,4,3,8,42,2,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_10BMAEkXWBJc6FY,165.225.9.71,12/7/20 7:24,12/7/20 7:31,202,6,4,6,4,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,11,63,1,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_3qKJV6HGEcYatDH,165.225.194.98,12/8/20 5:58,12/8/20 6:15,203,6,6,7,7,7,7,6,6,7,6,6,5,5,6,7,7,7,7,7,4,4,4,4,4,1,10,42,2,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_2ZZTGRFVZFcFsqS,73.169.225.175,12/7/20 11:31,12/7/20 11:35,204,7,6,7,5,7,7,7,7,7,6,6,6,7,6,7,7,7,5,7,6,6,6,5,6,5,11,38,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_25FvDY2BJqXkO4t,104.129.196.171,12/7/20 7:06,12/7/20 7:14,205,7,6,5,5,3,3,3,3,6,4,4,4,4,5,3,3,5,5,5,3,3,3,3,4,2,4,20,2,187,7,1,,,1,,,,,187,,,1,,7,1,1,5,,2
R_3ilh1VWLnnntGMj,165.225.27.143,12/7/20 7:02,12/7/20 7:11,206,7,6,7,7,4,4,3,3,7,4,3,3,3,4,5,4,5,6,7,5,5,6,6,7,1,10,35,2,65,,,,,,,,,,65,65,65,2,,7,1,1,4,,2
R_DV5tNR9Od48Cx3z,165.225.241.68,12/7/20 7:48,12/7/20 7:54,207,7,6,6,6,5,4,4,5,3,5,5,4,4,4,6,5,5,6,6,5,4,4,4,4,6,11,36,2,65,,,,,,,,,,65,65,65,2,,5,1,1,3,,1
R_1jQjfX48fMBzzJA,165.225.38.94,12/7/20 7:15,12/7/20 7:24,208,7,4,5,4,7,7,7,7,7,4,4,4,4,4,7,7,4,4,4,4,4,4,4,4,4,11,29,2,31,,,,,,,,,,65,65,65,2,,7,1,1,5,,2
R_2QgIPgd3LPMzdDM,109.235.136.244,12/8/20 1:45,12/8/20 1:48,209,7,4,7,6,7,6,6,7,7,5,6,6,5,5,6,5,6,4,5,4,5,5,4,5,6,11,31,2,65,,,,,,,,,,65,65,65,2,,7,1,1,5,,2
R_RXeGtUHXuq7KwtH,104.129.204.255,12/7/20 7:37,12/7/20 7:47,210,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,9,32,2,187,1,1,,,,,,,,65,,,2,,6,1,1,3,,1
R_2y89OlZEY4kEuKn,193.28.61.1,12/8/20 3:24,12/8/20 3:33,211,7,7,5,5,6,6,6,6,6,5,6,6,5,5,6,6,4,4,4,4,4,4,4,4,5,11,42,2,65,,,,,,,,,,65,65,65,2,,5,1,1,3,,1
R_AsAkDW2qBLupEm5,91.192.15.66,12/7/20 9:58,12/7/20 10:04,212,4,4,6,6,2,2,3,7,5,2,2,5,6,5,4,5,6,6,6,4,5,6,6,6,1,11,48,2,65,,,,,,,,,,65,65,65,2,,7,1,1,4,,2
R_3GwUyGZT2z8PKgr,91.51.247.86,12/7/20 7:17,12/7/20 7:25,213,5,5,6,5,5,5,5,5,5,4,5,4,4,4,6,5,6,5,5,5,5,5,5,5,5,11,32,2,65,,,,,,,,,,65,65,65,2,,5,1,1,6,Project management,
R_1f7Vejdkcs3QSkg,185.61.31.148,12/7/20 7:22,12/7/20 8:43,214,7,6,6,5,6,4,6,3,7,4,5,5,5,7,5,6,7,6,6,3,3,4,5,5,5,11,29,2,,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_cZJKyHl0FOkwGPL,165.225.9.99,12/8/20 6:14,12/8/20 6:21,215,3,3,7,7,2,2,5,5,2,2,2,5,5,2,7,7,4,2,7,3,5,3,3,7,2,11,23,2,187,1,1,,,,,,,,187,,,1,,7,1,1,5,,2
R_Xq6Dwarf2wyMnyV,100.16.109.210,12/7/20 11:02,12/7/20 11:11,216,5,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,6,42,2,,,,,,,,,,,187,,,1,,7,1,1,4,,2
R_3EuwX6d2VqbSCda,62.245.183.149,12/9/20 4:25,12/9/20 4:31,217,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,41,2,65,,,,,,,,,,65,65,65,2,,2,2,1,6,,
R_3g7AJmhOkzo2Kw6,165.225.27.10,12/8/20 3:19,12/8/20 3:26,218,6,5,6,5,5,6,5,5,6,5,6,5,5,5,5,5,6,6,6,5,6,5,5,5,5,10,56,2,65,,,,,,,,,,65,65,65,2,,4,1,1,4,,2
R_ptvMHJVyQlPxbMt,165.225.56.123,12/7/20 10:41,12/7/20 10:45,219,6,6,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,9,25,1,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_2xwJyV1czYkAmYk,165.225.8.84,12/7/20 6:25,12/7/20 6:30,220,7,5,7,6,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,6,6,6,6,7,5,9,47,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_1BPZamxSdbZPfOK,93.229.85.169,12/7/20 6:46,12/7/20 6:51,221,5,4,6,4,5,6,5,4,4,4,4,4,4,4,6,6,6,5,6,4,4,4,4,4,4,11,39,2,65,,,,,,,,,,187,65,65,1,,7,1,1,4,,2
R_1pYFArFMLXwbBDB,83.241.168.154,12/7/20 6:56,12/7/20 7:08,222,7,5,7,6,5,6,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,6,11,59,2,128,,,,,,,,,,128,128,128,6,Norwegian,4,1,1,3,,1
R_1dNpjL5hxZKKyNb,80.109.33.89,12/9/20 2:58,12/9/20 3:05,223,3,3,7,6,3,5,5,2,1,4,4,4,5,2,7,7,6,3,7,5,5,4,3,6,2,8,30,3,10,,,,,,,,,,10,10,10,2,,7,1,1,5,,2
R_1pFf7XWv3RgI5nb,62.245.183.149,12/8/20 3:45,12/8/20 3:49,224,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,9,38,2,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_1n1pTR0uP8wo0eh,194.53.167.6,12/7/20 6:47,12/7/20 7:09,225,7,6,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,5,6,5,5,6,5,5,4,11,26,2,122,,,,,,,,,,65,65,65,2,,7,1,1,5,,2
R_qIWkLA8NU8QVqcF,168.224.160.23,12/7/20 7:12,12/7/20 7:16,226,3,3,6,6,5,5,3,5,4,5,5,3,5,4,6,6,6,6,6,6,6,6,6,6,3,11,33,1,158,,,,,,,,,,158,158,158,6,Slovene,7,1,1,3,,1
R_31uaRPj8gjAEANJ,194.8.198.66,12/7/20 7:37,12/7/20 7:43,227,7,6,7,4,7,5,5,7,7,5,5,5,5,5,7,7,7,7,7,4,4,6,6,6,6,11,44,2,65,,,,,,,,,,65,67,67,2,,4,1,1,5,,2
R_12zpFPfz2xIbwjr,147.161.164.245,12/9/20 0:49,12/9/20 0:53,228,6,4,6,4,6,6,6,6,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,4,11,23,1,65,,,,,,,,,,65,84,65,2,,7,1,1,5,,2
R_3e4h03FYsV7wRZ7,95.90.242.102,12/7/20 6:44,12/7/20 6:59,229,7,6,7,7,7,7,7,7,7,5,5,5,7,6,7,7,7,7,7,5,6,5,7,5,5,11,31,2,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_RErbQ2ES9Woc1X3,77.20.250.125,12/15/20 5:26,12/15/20 5:32,230,5,5,7,6,5,6,3,7,7,5,5,5,5,4,6,2,6,7,3,5,5,5,5,2,4,2,32,2,65,,,,,,,,,,24,24,24,6,Portuguese,6,1,1,4,,2
R_usnkV0a6Llo1RVT,148.168.96.22,12/8/20 15:36,12/8/20 15:39,231,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,9,46,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_2CBnHVz229yeP18,80.213.138.17,12/8/20 4:56,12/8/20 5:01,232,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,9,42,2,128,,,,,,,,,,128,128,128,6,Norwegian,5,1,1,3,,1
R_1kYqxETKHwmvi1y,62.245.183.149,12/7/20 22:18,12/7/20 22:24,233,6,5,6,5,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,4,9,37,2,65,,,,,,,,,,142,142,65,2,,5,1,1,3,,1
R_1Q61LAzjxfbqW3z,141.2.158.202,12/7/20 7:25,12/7/20 7:29,234,5,5,5,5,5,3,3,5,3,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,7,48,2,65,,,,,,,,,,65,65,65,2,,5,1,1,6,,
R_28Nwucpd144EkXv,64.215.22.103,12/7/20 10:52,12/7/20 11:10,235,4,6,7,7,4,5,7,7,5,6,5,7,7,5,7,7,6,6,6,6,6,6,6,6,5,11,44,2,24,,,,,,,,,,24,24,24,6,Portuguese,6,1,1,3,,1
R_1kTa06kBCt5rXRl,170.133.4.64,12/7/20 14:04,12/7/20 14:09,236,7,7,7,7,6,7,6,7,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,7,6,9,40,1,65,,,,,,,,,,2,6,18,5,,3,2,6,6,,
R_3e925y57E9cqa6d,192.36.28.75,12/7/20 6:32,12/7/20 6:39,237,5,4,6,4,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,4,4,4,4,4,4,10,57,1,168,,,,,,,,,,168,168,168,6,Swedish,6,1,1,4,,2
R_1Q3ZkCVfgvTUw5Z,165.225.9.60,12/7/20 8:26,12/7/20 8:34,238,7,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,1,10,57,2,187,1,1,,,,,,,,187,,,1,,7,1,1,5,,2
R_2X6ySN9c8GXtXnJ,80.110.123.206,12/7/20 6:50,12/7/20 6:57,239,2,7,2,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,69,3,9,,,,,,,,,,9,132,193,6,Klingon,7,1,2,1,,0
R_31Nod8d4AbfZBDq,84.60.22.232,12/8/20 1:25,12/8/20 1:38,240,5,4,6,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,1,10,29,2,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,2
R_1nVG3jDs6oK44rU,71.245.112.218,12/7/20 19:01,12/7/20 19:07,241,6,6,6,6,6,6,6,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,4,11,47,2,187,2,,,,1,,,,,187,,,1,,7,1,1,2,,0
R_1d68ePdjqjhq3OX,91.192.15.77,12/8/20 1:20,12/8/20 1:27,242,5,3,6,5,4,5,5,3,3,3,3,4,3,3,5,4,5,6,6,4,4,5,5,5,5,10,23,2,65,,,,,,,,,,65,65,65,2,,5,1,1,5,,2
R_1DZ7SMzfgsTclIm,31.15.44.211,12/9/20 2:56,12/9/20 3:11,243,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,8,41,2,168,,,,,,,,,,168,168,168,6,Swedish,6,1,1,3,,1
R_1is3ctuwAVtl77H,89.247.254.212,12/7/20 6:54,12/7/20 7:35,244,7,5,6,5,5,4,2,7,6,4,4,4,3,6,4,5,4,6,7,3,4,3,4,5,6,11,25,2,65,,,,,,,,,,65,65,65,2,,7,1,1,4,,2
R_33vRBoYr9VL6xfw,80.89.79.164,12/7/20 7:18,12/7/20 7:20,245,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,11,41,2,94,,,,,,,,,,94,94,94,6,Latvian,5,1,1,3,,1
R_2y3B7UWCJMHe5Bk,213.55.225.38,12/7/20 7:40,12/7/20 7:49,246,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,11,35,2,169,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_qC4wGKJD7zHKFQl,192.36.28.75,12/8/20 1:03,12/8/20 1:08,247,4,4,6,6,6,6,4,4,4,6,6,4,4,4,6,6,4,4,4,6,6,4,4,4,4,11,53,2,168,,,,,,,,,,168,168,168,6,swedish,7,1,1,3,,1
R_2cpvlhu7ikWc9q3,165.225.16.64,12/7/20 6:37,12/7/20 6:41,248,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,6,6,6,5,11,39,2,185,,,,,,,,,,185,185,185,1,,7,1,1,4,,2
R_124ox5473A6yplk,77.0.23.67,12/7/20 6:56,12/7/20 7:51,249,6,6,7,7,6,6,6,6,6,5,5,5,5,5,6,7,7,7,6,6,7,7,7,6,3,10,29,2,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,1
R_28HiwrFKlLIZvez,185.39.104.65,12/8/20 3:03,12/8/20 3:08,250,6,6,6,6,6,7,6,6,5,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,4,6,45,2,42,,,,,,,,,,42,42,42,6,Croatian,6,1,1,3,,2
R_2pVppfzlY2RfKnz,178.198.53.249,12/8/20 23:16,12/8/20 23:25,251,7,6,6,5,4,5,6,5,6,5,6,5,5,5,4,5,5,5,4,4,4,4,4,4,5,10,30,1,169,,,,,,,,,,169,169,163,2,,5,1,1,4,,2
R_2f9gpIqARmmCnAJ,84.68.96.101,12/7/20 22:52,12/7/20 23:07,252,6,6,6,5,4,5,6,6,4,4,4,5,5,4,4,4,6,4,6,4,5,5,4,5,5,10,26,2,185,,,,,,,,,,185,185,185,1,,7,1,1,3,,1
R_2qdQQPvMG4RQlLM,89.217.208.146,12/7/20 8:11,12/7/20 8:16,253,7,5,7,5,7,7,7,7,7,4,3,6,6,6,6,7,7,7,7,5,4,4,4,3,1,11,30,2,169,,,,,,,,,,185,185,185,1,,7,1,1,5,,2
R_1mqGMqyjA2XOA7l,194.68.2.130,12/8/20 5:00,12/8/20 5:10,254,7,5,7,7,6,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,11,31,1,169,,,,,,,,,,35,35,35,5,,7,1,1,4,,2
R_26feqZrI2YkQN68,148.168.96.26,12/22/20 12:31,12/22/20 12:39,255,5,5,6,4,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,10,56,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_10Noypm3XK5AO7G,89.247.254.217,12/7/20 7:44,12/7/20 7:51,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,40,2,65,,,,,,,,,,65,65,65,2,,3,1,1,5,,2
R_1DIlRdBs3iWpeqK,165.225.38.21,12/11/20 9:09,12/11/20 9:23,257,6,4,6,5,7,7,7,7,4,7,7,7,7,6,6,6,4,3,5,4,4,4,4,4,5,11,32,2,187,2,,,,1,,,,,189,,,6,"russian, uzbek/ kazakh",7,1,1,4,,2
R_3PMsr9Vl9d1qFjO,165.225.210.86,12/7/20 15:55,12/7/20 15:58,258,6,6,6,6,6,6,7,4,6,5,6,6,5,6,7,7,7,6,5,4,3,3,3,4,3,10,56,1,187,1,1,,,,,,,,187,,,1,,6,1,1,4,,2
R_3D7uwzsp3jij6c5,165.225.38.76,12/8/20 5:02,12/8/20 5:09,259,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,11,25,2,31,,,,,,,,,,78,78,78,1,,7,1,1,4,,2
R_3kHzUbNrsOCsQFN,99.99.238.181,12/7/20 8:46,12/7/20 8:50,260,5,5,7,7,4,4,7,6,6,4,4,6,7,6,7,5,4,7,6,5,4,4,6,6,3,11,51,2,187,2,,,,1,,,,,187,,,1,,7,1,1,4,,2
R_1d68Goa8KtV2Znr,178.5.77.225,12/7/20 6:53,12/7/20 7:00,261,7,6,3,3,7,5,5,6,6,6,6,6,6,6,7,7,7,6,7,5,5,5,4,5,4,10,38,1,65,,,,,,,,,,65,65,65,2,,7,1,1,1,,0
R_2D8LRsMYhWq747G,165.225.27.58,12/7/20 11:14,12/7/20 11:20,262,5,5,7,7,6,5,5,6,5,6,6,6,6,6,7,7,7,6,7,6,6,6,6,6,6,8,45,1,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_2ZZG3iwXPCMbLvM,195.200.34.51,12/7/20 8:45,12/7/20 8:53,263,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,9,55,2,65,,,,,,,,,,65,65,65,2,,4,1,1,4,,2
R_12RQKA2Tg6d1Tof,178.195.147.116,12/7/20 9:45,12/7/20 9:50,264,6,6,5,5,4,4,4,6,6,4,4,4,6,6,4,4,5,4,6,4,4,5,4,6,3,9,47,1,169,,,,,,,,,,169,169,169,2,,6,1,1,3,,1
R_1d5nIVVLNxdLRkY,77.2.13.196,12/8/20 5:07,12/8/20 5:11,265,5,5,7,7,7,5,5,3,5,6,5,5,3,5,7,7,7,7,7,6,6,6,6,6,5,10,32,1,65,,,,,,,,,,65,65,187,2,,7,1,1,4,,2
R_3g8e0LGDXYdmbQj,109.235.136.244,12/13/20 23:36,12/13/20 23:39,266,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,10,25,1,65,,,,,,,,,,65,65,65,2,,5,1,1,6,Project Manager,
R_1obSHrA8AhVyW1o,194.56.48.102,12/7/20 6:45,12/7/20 6:50,267,7,6,4,4,6,6,6,6,6,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,5,8,34,1,169,,,,,,,,,,169,169,169,2,,3,1,1,5,,2
R_1l5yOXTUdlGcA8K,147.161.165.27,12/7/20 7:07,12/7/20 7:12,268,5,4,7,4,4,4,5,5,6,4,4,4,4,4,5,5,5,3,7,4,4,4,4,4,3,10,52,1,65,,,,,,,,,,65,65,65,2,,7,1,1,6,senior software dev dude,
R_yPamPCu5wr38m09,80.137.39.66,12/8/20 0:25,12/8/20 0:33,269,6,5,6,3,5,5,7,3,4,5,5,6,3,4,7,6,2,2,4,6,5,2,2,4,4,9,37,1,65,,,,,,,,,,65,65,65,2,,7,1,1,3,,1
R_PXlV6brKZ5TRwPL,165.225.241.64,12/9/20 0:01,12/9/20 0:08,270,5,5,5,5,5,5,7,3,7,5,6,5,6,6,4,5,5,5,4,5,4,5,5,4,4,7,39,2,65,,,,,,,,,,65,65,65,2,,4,2,1,4,,2
R_2ByArb8h2DhbMP7,95.55.21.70,12/7/20 7:01,12/7/20 7:07,271,7,7,7,7,7,5,6,7,5,5,5,6,6,5,7,7,7,6,6,5,5,7,7,6,2,10,25,2,143,,,,,,,,,,143,143,143,6,Russian,7,1,1,5,,2
R_ykBe1nDyTznQZSV,168.224.160.21,12/14/20 6:52,12/14/20 6:55,272,7,5,7,5,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,5,5,5,5,5,4,11,36,2,17,,,,,,,,,,67,67,67,6,Greek,7,1,1,4,,2
R_1jdEl7Viu4DxaqK,148.168.40.122,12/7/20 6:45,12/7/20 6:54,273,5,5,5,5,4,4,6,6,4,5,5,5,5,5,5,5,5,2,5,5,5,5,1,5,1,1,52,2,187,2,,,,1,,,,,136,,,6,Tagalog,7,1,1,3,,1
R_3m7PmSk0npm7f1a,168.224.160.23,12/9/20 1:49,12/9/20 2:00,274,3,2,5,3,5,5,4,7,4,2,3,2,3,4,6,4,5,2,4,5,5,3,2,4,6,3,48,2,185,,,,,,,,,,82,82,185,1,,7,1,1,3,,1
R_2q2XSdGnS8qGLMj,156.106.202.73,12/7/20 9:04,12/7/20 9:51,275,7,7,7,7,7,7,4,7,7,7,7,4,7,7,7,7,4,7,7,7,7,4,7,7,5,10,45,2,169,,,,,,,,,,31,31,31,3,,7,1,1,3,,1
R_231VJVaoODsxJ3P,93.230.220.162,12/7/20 8:06,12/7/20 8:10,276,7,7,6,6,6,5,3,7,5,6,4,7,5,5,7,7,7,7,7,7,7,7,7,7,2,10,27,2,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_ac1qzcUT43HWtZT,104.129.204.66,12/7/20 7:12,12/7/20 7:16,277,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,11,50,1,187,1,1,,,,,,,,65,,,2,,7,1,1,2,,0
R_1Qi3SYpK1Jt8RYP,87.123.170.91,12/10/20 6:24,12/10/20 6:29,278,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,6,6,6,5,11,29,1,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_1C73pmgWwaDXCFY,147.161.165.31,12/14/20 1:49,12/14/20 2:19,279,7,5,7,6,7,7,7,7,4,5,5,5,5,5,7,7,7,7,7,6,6,4,4,6,4,11,44,1,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_aYn8puzEpQPDbLH,177.241.63.218,12/7/20 6:32,12/7/20 14:32,280,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,10,49,2,,,,,,,,,,,111,111,111,5,,7,1,1,3,,1
R_sGO1n3muCtxVBzX,82.14.156.71,12/7/20 6:42,12/7/20 6:45,281,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,11,34,2,185,,,,,,,,,,122,122,122,6,Dutch,7,1,1,2,,0
R_21aHFn54WV7sHqh,131.176.243.12,12/7/20 7:30,12/7/20 7:35,282,6,6,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,10,54,1,65,,,,,,,,,,185,185,185,1,,7,1,1,3,,1
R_2ZVaQgUMKC8g7ZK,194.150.83.42,12/10/20 6:33,12/10/20 6:38,283,6,6,5,5,5,4,6,6,6,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,11,43,1,65,,,,,,,,,,65,65,65,2,,5,1,1,3,,1
R_2Y52zBYq24l68fU,178.165.131.84,12/7/20 7:01,12/7/20 7:14,284,7,4,6,2,7,6,6,7,7,2,4,2,3,2,7,7,7,7,7,7,7,7,7,7,3,10,25,1,10,,,,,,,,,,10,10,10,2,,5,1,1,4,,2
R_1BWarekmJOdXYIU,165.225.241.52,12/7/20 6:50,12/7/20 6:54,285,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,34,1,65,,,,,,,,,,65,65,65,2,,3,1,1,3,,1
R_sjo7c8wwJELA8Gl,95.90.244.16,12/7/20 23:43,12/7/20 23:48,286,6,6,6,4,4,6,7,4,3,6,7,6,3,5,5,6,7,5,7,4,4,4,3,2,5,8,35,1,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_bmaVJkqQT139R8B,217.119.28.71,12/7/20 7:00,12/7/20 7:04,287,7,6,7,6,7,5,5,6,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,11,32,1,143,,,,,,,,,,143,143,,6,Russian,5,1,1,3,,1
R_3Mg7XbJAkzmLpi4,165.225.200.210,12/7/20 10:42,12/7/20 10:50,288,6,6,6,6,6,5,5,5,5,5,5,5,5,5,7,7,7,7,7,6,6,6,6,7,4,9,50,1,10,,,,,,,,,,10,10,10,2,,6,1,1,5,,2
R_11XSsstSlf5EuBr,79.212.249.128,12/11/20 5:22,12/11/20 5:26,289,7,6,5,2,7,6,6,6,6,7,5,5,5,5,5,3,3,3,6,2,2,5,5,5,5,11,24,1,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,2
R_SNR35l95p5Q66lj,62.245.183.149,12/8/20 2:27,12/8/20 2:32,290,5,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,10,41,2,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_1oaRzSjwPGJ3YbU,94.79.152.238,12/7/20 7:02,12/7/20 7:11,291,5,5,5,3,6,5,5,5,6,5,6,6,5,7,4,4,3,5,6,5,5,5,4,5,4,10,31,1,65,,,,,,,,,,179,179,179,6,turkish,5,1,1,4,,2
R_RFwytvpjFba62LT,88.150.124.44,12/9/20 6:31,12/9/20 6:43,292,7,7,6,4,5,5,5,5,7,5,6,6,6,6,3,5,3,5,2,5,5,5,5,5,2,8,33,2,65,,,,,,,,,,65,65,65,2,,4,1,1,4,,2
R_7Qi1Y0yjFqRyb6h,198.47.47.187,12/7/20 10:22,12/7/20 10:28,293,5,4,5,4,5,5,6,6,5,4,4,4,4,4,6,4,5,4,5,6,6,3,3,5,4,11,40,2,31,,,,,,,,,,31,31,31,1,,7,1,1,3,,1
R_RlEyuY2pqYNj6i5,80.110.105.58,12/7/20 8:01,12/7/20 8:05,294,7,5,6,6,6,6,6,6,6,6,5,7,6,5,7,7,7,7,7,5,5,5,5,5,3,11,25,2,10,,,,,,,,,,10,10,10,2,,7,1,1,4,,2
R_3fUHfSfPtJEfhfR,92.106.160.247,12/8/20 2:28,12/8/20 2:36,295,7,7,6,6,5,6,7,6,5,5,7,6,5,4,4,3,4,5,6,5,4,3,3,6,4,11,40,1,169,,,,,,,,,,169,169,65,2,,6,1,1,3,,1
R_1oheq8exopMXt8d,79.231.192.91,12/7/20 6:47,12/7/20 6:51,296,6,5,6,5,6,6,4,4,4,4,4,4,4,4,6,6,4,4,6,4,4,4,4,4,5,11,28,2,65,,,,,,,,,,65,65,65,2,,5,1,1,5,,2
R_3M9htAKL9KmnlJf,193.177.237.18,12/8/20 3:35,12/8/20 3:40,297,5,5,5,5,4,4,6,6,4,4,4,4,4,4,6,4,6,5,6,4,4,4,4,4,4,11,44,2,122,,,,,,,,,,122,122,122,6,Dutch,6,1,1,6,,
R_3Pk69f9NdtEFUZc,165.225.27.145,12/10/20 5:27,12/10/20 5:32,298,7,7,7,7,7,7,4,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,4,6,43,2,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_25HDypb92DprgHs,141.2.49.48,12/8/20 1:53,12/8/20 1:58,299,7,6,7,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,10,40,2,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
